"date","users","messages"
"2016-11-09","797","22461"
"2016-11-08","5384","185023"
"2016-11-07","1181","186611"
"2016-11-06","539","7612"
"2016-11-05","599","8722"
"2016-11-04","1098","16243"
"2016-11-03","556","10335"
"2016-11-02","580","16542"
"2016-11-01","965","232705"
"2016-10-31","427","7956"
"2016-10-30","396","6684"
"2016-10-29","413","10257"
"2016-10-28","605","76555"
"2016-10-27","582","9889"
"2016-10-26","667","14054"
"2016-10-25","1503","33840"
"2016-10-24","3207","81894"
"2016-10-23","2170","53140"
"2016-10-22","2860","77517"
"2016-10-21","7886","182413"
"2016-10-20","2089","44487"
"2016-10-19","1726","37939"
"2016-10-18","2250","51398"
"2016-10-17","1440","33241"
"2016-10-16","1056","23151"
"2016-10-15","1737","37609"
"2016-10-14","2807","56795"
"2016-10-13","3340","72876"
"2016-10-12","4846","111107"
"2016-10-11","10223","233762"
"2016-10-10","10702","231110"
"2016-10-09","4781","96862"
"2016-10-08","6718","120003"
"2016-10-07","2726","57509"
"2016-10-06","2606","57361"
"2016-10-05","4045","85062"
"2016-10-04","2142","52027"
"2016-10-03","2717","66478"
"2016-10-02","1991","50467"
"2016-10-01","2695","69397"
"2016-09-30","4358","112273"
"2016-09-29","4379","115537"
"2016-09-28","10734","298118"
"2016-09-27","22503","585838"
"2016-09-26","3859","103142"
"2016-09-25","1879","52286"
"2016-09-24","4111","115785"
"2016-09-23","8157","213700"
"2016-09-22","3277","76689"
"2016-09-21","187","3668"
"2016-09-20","54","1008"
